Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,97.180000,98.400002,96.260002,97.269997,66.986580,9196800
2007-01-04,97.250000,98.790001,96.879997,98.309998,67.702835,10524500
2007-01-05,97.599998,97.949997,96.910004,97.419998,67.089897,7221300
2007-01-08,98.500000,99.500000,98.349998,98.900002,68.109116,10340000
2007-01-09,99.080002,100.330002,99.070000,100.070000,68.914879,11108200
2007-01-10,98.500000,99.050003,97.930000,98.889999,68.102272,8744800
2007-01-11,99.000000,99.900002,98.500000,98.650002,67.936951,8000700
2007-01-12,98.989998,99.690002,98.500000,99.339996,68.412140,6636500
2007-01-16,99.400002,100.839996,99.300003,100.820000,69.431374,9602200
2007-01-17,100.690002,100.900002,99.900002,100.019997,68.880432,8200700
2007-01-18,99.800003,99.949997,98.910004,99.449997,68.487877,14636100
2007-01-19,95.000000,96.849998,94.550003,96.169998,66.229080,26035800
2007-01-22,96.419998,97.230003,96.120003,97.110001,66.876419,13539300
2007-01-23,96.910004,97.379997,96.199997,97.080002,66.855736,10337400
2007-01-24,97.080002,97.580002,96.580002,97.400002,67.076141,5700000
2007-01-25,97.220001,97.919998,97.220001,97.510002,67.151863,6201300
2007-01-26,97.519997,97.830002,96.839996,97.449997,67.110573,5771100
2007-01-29,97.699997,98.660004,97.449997,98.540001,67.861221,7294800
2007-01-30,98.570000,99.449997,98.500000,99.370003,68.432785,7177900
2007-01-31,98.800003,99.480003,98.349998,99.150002,68.281288,6432600
2007-02-01,98.970001,99.180000,97.959999,99.000000,68.177956,6610700
2007-02-02,99.099998,99.730003,98.879997,99.169998,68.295067,6656300
2007-02-05,99.169998,100.440002,98.900002,100.379997,69.128365,8184800
2007-02-06,100.000000,100.400002,99.540001,99.849998,68.763367,6532800
2007-02-07,99.800003,100.360001,99.120003,99.540001,68.756462,7698200
2007-02-08,98.900002,99.739998,98.650002,99.620003,68.811684,6152200
2007-02-09,99.519997,99.699997,97.809998,98.550003,68.072609,6100400
2007-02-12,98.800003,99.199997,98.220001,98.580002,68.093315,5331000
2007-02-13,98.599998,98.739998,97.800003,98.290001,67.893044,5702800
2007-02-14,98.500000,99.430000,98.250000,99.199997,68.521629,5644800
2007-02-15,99.059998,99.519997,98.480003,98.919998,68.328171,5568600
2007-02-16,99.120003,99.250000,98.629997,98.989998,68.376564,4800700
2007-02-20,98.660004,99.459999,98.550003,99.349998,68.625221,4124200
2007-02-21,98.900002,99.370003,98.699997,99.089996,68.445618,4302400
2007-02-22,98.800003,99.500000,97.769997,98.500000,68.038094,5900100
2007-02-23,98.400002,98.440002,97.410004,97.730003,67.506187,6355800
2007-02-26,97.860001,97.860001,96.459999,96.910004,66.939796,5922100
2007-02-27,96.000000,96.010002,92.879997,93.959999,64.902115,11996700
2007-02-28,93.709999,94.089996,92.470001,92.940002,64.197563,12191600
2007-03-01,90.250000,93.050003,88.769997,92.269997,63.734760,12865700
2007-03-02,92.000000,92.370003,90.839996,90.900002,62.788460,9451300
2007-03-05,90.250000,92.150002,90.099998,91.809998,63.417030,10314900
2007-03-06,92.400002,93.889999,92.260002,93.800003,64.791618,9184200
2007-03-07,93.970001,94.849998,93.620003,93.940002,64.888321,10269100
2007-03-08,94.500000,94.820000,92.519997,93.000000,64.238998,7403900
2007-03-09,93.480003,94.000000,92.820000,93.279999,64.432404,6333000
2007-03-12,93.290001,94.169998,92.970001,94.110001,65.005730,5531300
2007-03-13,93.860001,94.470001,92.620003,92.709999,64.038696,7539100
2007-03-14,92.650002,94.029999,92.099998,93.760002,64.763954,8713900
2007-03-15,93.400002,93.970001,93.099998,93.449997,64.549835,5910000
2007-03-16,94.449997,94.449997,93.019997,93.250000,64.411682,8728700
2007-03-19,93.949997,94.320000,93.389999,93.989998,64.922813,4568100
2007-03-20,94.000000,94.529999,93.550003,94.500000,65.275116,4560000
2007-03-21,94.500000,95.809998,93.830002,95.360001,65.869141,7665600
2007-03-22,95.099998,95.440002,94.650002,95.190002,65.751709,5700400
2007-03-23,94.820000,95.220001,94.650002,95.029999,65.641212,4412500
2007-03-26,95.000000,95.250000,94.320000,95.000000,65.620461,6729400
2007-03-27,94.709999,95.029999,94.199997,94.730003,65.433975,4695800
2007-03-28,93.900002,95.019997,93.800003,94.260002,65.109360,8128000
2007-03-29,94.660004,95.110001,93.959999,94.570000,65.323448,6851500
2007-03-30,94.239998,94.750000,93.570000,94.260002,65.109360,7638100
2007-04-02,94.510002,95.500000,94.059998,95.209999,65.765541,5883700
2007-04-03,95.449997,96.230003,95.330002,96.099998,66.380280,5730800
2007-04-04,95.800003,96.449997,95.570000,96.209999,66.456261,4276200
2007-04-05,95.980003,96.750000,95.750000,96.519997,66.670418,3307100
2007-04-09,96.430000,96.940002,96.120003,96.620003,66.739494,4850600
2007-04-10,96.400002,96.800003,96.160004,96.459999,66.628975,3596400
2007-04-11,96.510002,96.699997,94.949997,95.160004,65.731026,5936900
2007-04-12,95.029999,95.820000,94.529999,95.669998,66.083252,7085300
2007-04-13,95.750000,95.750000,94.589996,94.930000,65.572144,6027800
2007-04-16,94.989998,96.300003,94.720001,96.180000,66.435555,6865100
2007-04-17,96.300003,97.660004,96.019997,97.120003,67.084854,10264000
2007-04-18,94.800003,95.910004,94.400002,94.800003,65.482323,15871700
2007-04-19,94.500000,94.870003,94.000000,94.290001,65.130051,9445600
2007-04-20,95.019997,95.150002,93.910004,94.580002,65.330376,9340300
2007-04-23,95.160004,95.730003,95.050003,95.209999,65.765541,7247400
2007-04-24,97.230003,99.900002,97.230003,98.489998,68.031158,21450700
2007-04-25,98.739998,101.699997,98.730003,101.459999,70.082664,14827300
2007-04-26,101.000000,101.500000,100.209999,100.900002,69.695854,8608500
2007-04-27,100.300003,101.169998,100.059998,101.169998,69.882362,6141400
2007-04-30,101.110001,103.000000,100.970001,102.209999,70.600746,10050400
2007-05-01,102.059998,103.169998,102.050003,103.169998,71.263855,8670100
2007-05-02,102.800003,103.139999,102.129997,102.220001,70.607658,6820300
2007-05-03,101.750000,103.000000,101.349998,102.800003,71.008270,7302200
2007-05-04,102.750000,103.029999,102.250000,102.959999,71.118767,5464800
2007-05-07,102.760002,103.169998,102.400002,103.160004,71.256950,5620100
2007-05-08,102.419998,103.389999,102.209999,103.290001,71.624428,5965000
2007-05-09,103.930000,104.750000,103.699997,104.379997,72.380302,8408100
2007-05-10,103.820000,105.110001,103.709999,104.680000,72.588310,8959800
2007-05-11,104.690002,105.989998,104.669998,105.980003,73.489784,6026100
2007-05-14,105.809998,106.250000,104.790001,105.570000,73.205490,5732600
2007-05-15,105.400002,105.800003,104.699997,104.830002,72.692337,6104200
2007-05-16,105.099998,105.889999,104.529999,105.870003,73.413483,5613500
2007-05-17,105.610001,106.230003,104.730003,105.309998,73.025177,7706400
2007-05-18,105.839996,108.050003,105.599998,107.989998,74.883575,9857500
2007-05-21,107.669998,108.000000,106.870003,107.040001,74.224823,7512200
2007-05-22,106.949997,107.250000,106.010002,106.699997,73.989037,5313300
2007-05-23,106.800003,107.000000,105.250000,105.580002,73.212433,4396900
2007-05-24,105.449997,105.980003,103.570000,103.949997,72.082146,6926300
2007-05-25,103.900002,105.430000,103.849998,105.180000,72.935036,6123000
2007-05-29,105.570000,106.629997,105.300003,105.910004,73.441238,5420300
2007-05-30,105.400002,107.099998,105.209999,106.930000,74.148544,7401000
2007-05-31,107.260002,107.669998,106.000000,106.599998,73.919708,5097700
2007-06-01,106.620003,107.239998,106.019997,106.540001,73.878082,5289200
2007-06-04,106.500000,106.589996,105.580002,106.230003,73.663132,4569900
2007-06-05,106.550003,106.550003,105.540001,105.839996,73.392677,5244200
2007-06-06,105.500000,105.510002,102.389999,102.410004,71.014229,30770700
2007-06-07,102.459999,103.169998,101.559998,101.800003,70.591240,14384600
2007-06-08,101.800003,103.209999,101.750000,103.070000,71.471893,8216300
2007-06-11,102.870003,104.000000,102.500000,103.220001,71.575920,7903100
2007-06-12,103.110001,103.180000,102.150002,102.339996,70.965691,5578400
2007-06-13,102.849998,103.260002,102.099998,103.120003,71.506584,6437600
2007-06-14,103.099998,104.239998,102.809998,103.849998,72.012772,5165600
2007-06-15,104.220001,105.190002,103.879997,105.089996,72.872635,9432300
2007-06-18,105.269997,105.650002,104.889999,105.330002,73.039070,6359200
2007-06-19,104.930000,106.660004,104.900002,106.500000,73.850349,5754000
2007-06-20,106.500000,107.019997,105.949997,106.000000,73.503662,6541500
2007-06-21,105.769997,107.000000,105.610001,106.599998,73.919708,5587800
2007-06-22,105.959999,106.440002,104.440002,104.440002,72.421883,10808500
2007-06-25,104.730003,105.769997,104.500000,105.099998,72.879562,8476400
2007-06-26,105.099998,106.059998,104.820000,105.330002,73.039070,5229600
2007-06-27,104.750000,105.470001,104.400002,105.430000,73.108421,5403800
2007-06-28,105.519997,106.919998,105.220001,105.949997,73.468979,5430900
2007-06-29,105.959999,106.580002,104.099998,105.250000,72.983582,7018400
2007-07-02,105.389999,105.800003,104.580002,105.010002,72.817169,4701300
2007-07-03,105.500000,107.080002,105.239998,106.580002,73.905853,4217900
2007-07-05,106.309998,108.389999,105.980003,108.050003,74.925201,6670900
2007-07-06,107.790001,109.660004,107.660004,109.029999,75.604736,8977200
2007-07-09,108.730003,109.349998,108.199997,108.970001,75.563141,6046300
2007-07-10,108.550003,109.150002,108.250000,108.629997,75.327393,6209300
2007-07-11,108.300003,109.599998,108.250000,109.099998,75.653297,5887800
2007-07-12,109.349998,109.650002,108.220001,109.279999,75.778114,9544100
2007-07-13,108.750000,109.199997,108.099998,108.599998,75.306580,7124100
2007-07-16,108.570000,110.040001,108.419998,109.660004,76.041626,8864200
2007-07-17,109.660004,111.470001,109.449997,110.769997,76.811325,7619900
2007-07-18,110.250000,111.879997,110.040001,111.080002,77.026268,10154100
2007-07-19,115.000000,116.480003,114.650002,115.860001,80.340881,17281600
2007-07-20,114.849998,115.860001,113.940002,114.809998,79.612778,11706300
2007-07-23,114.879997,116.430000,114.849998,116.379997,80.701462,8040900
2007-07-24,115.320000,117.000000,115.019997,116.169998,80.555847,10499300
2007-07-25,116.190002,118.379997,115.239998,118.099998,81.894150,11340000
2007-07-26,117.010002,118.820000,115.519997,116.529999,80.805458,16822100
2007-07-27,116.620003,117.949997,115.620003,115.620003,80.174469,18138700
2007-07-30,115.000000,115.750000,113.519997,114.519997,79.411682,15095400
2007-07-31,114.720001,114.720001,110.019997,110.650002,76.728111,17816200
2007-08-01,110.389999,112.730003,110.059998,112.040001,77.691963,12390300
2007-08-02,112.099998,114.050003,111.500000,113.230003,78.517166,11318900
2007-08-03,113.239998,114.180000,111.699997,111.889999,77.587936,9571300
2007-08-06,111.970001,113.889999,111.699997,113.889999,78.974823,7245500
2007-08-07,113.019997,114.169998,112.250000,113.529999,78.725166,8021400
2007-08-08,114.300003,114.599998,112.260002,112.980003,78.620804,7681400
2007-08-09,110.769997,114.489998,110.730003,110.730003,77.055054,9086000
2007-08-10,109.750000,113.500000,109.699997,112.639999,78.384201,9592200
2007-08-13,112.989998,113.949997,112.309998,112.709999,78.432922,6135500
2007-08-14,112.830002,113.150002,111.739998,112.050003,77.973656,5615600
2007-08-15,111.000000,112.849998,109.910004,111.230003,77.403008,11640200
2007-08-16,110.980003,111.419998,103.699997,109.690002,76.331367,16723000
2007-08-17,111.870003,112.669998,108.660004,110.900002,77.173363,15274600
2007-08-20,110.900002,111.099998,109.129997,109.220001,76.004272,9839800
2007-08-21,108.900002,110.110001,108.080002,109.040001,75.879021,8458500
2007-08-22,110.089996,110.500000,109.150002,110.000000,76.547058,6329700
2007-08-23,110.400002,111.680000,110.010002,111.449997,77.556114,8271000
2007-08-24,111.449997,113.250000,110.809998,113.239998,78.801743,7058700
2007-08-27,113.000000,113.849998,112.800003,113.440002,78.940910,4921800
2007-08-28,112.900002,113.589996,111.629997,112.000000,77.938828,6006600
2007-08-29,112.879997,114.980003,112.070000,114.570000,79.727272,7049800
2007-08-30,113.620003,116.000000,113.620003,115.370003,80.283951,7756100
2007-08-31,115.989998,117.349998,115.550003,116.690002,81.202530,6883600
2007-09-04,116.339996,118.889999,116.150002,118.190002,82.246353,8070500
2007-09-05,117.480003,118.150002,116.550003,117.879997,82.030617,6555500
2007-09-06,117.919998,118.750000,116.239998,117.620003,81.849693,6778600
2007-09-07,116.199997,116.970001,115.330002,115.550003,80.409218,7511700
2007-09-10,116.150002,117.500000,115.320000,115.800003,80.583199,6118300
2007-09-11,116.349998,117.779999,116.040001,117.349998,81.661812,8098700
2007-09-12,116.949997,117.400002,115.690002,116.000000,80.722374,6287200
2007-09-13,116.300003,117.000000,115.739998,115.949997,80.687569,4802700
2007-09-14,115.050003,116.000000,114.650002,115.129997,80.116959,6904400
2007-09-17,114.699997,115.250000,114.300003,114.519997,79.692467,5022400
2007-09-18,115.000000,116.779999,114.830002,116.629997,81.160767,7839500
2007-09-19,116.900002,117.190002,115.779999,116.669998,81.188599,10311200
2007-09-20,116.269997,117.650002,116.199997,116.860001,81.320839,5806400
2007-09-21,117.889999,118.099998,116.349998,116.779999,81.265152,9097300
2007-09-24,116.900002,117.430000,115.849998,116.250000,80.896324,5734300
2007-09-25,116.019997,117.589996,115.790001,116.510002,81.077248,7045200
2007-09-26,116.940002,118.080002,116.750000,117.300003,81.627014,6695200
2007-09-27,117.500000,118.209999,117.040001,117.709999,81.912331,5834500
2007-09-28,117.139999,118.500000,117.099998,117.800003,81.974976,7720200
2007-10-01,117.610001,119.500000,117.500000,119.029999,82.830902,6777300
2007-10-02,119.309998,119.599998,118.139999,118.360001,82.364639,6911500
2007-10-03,117.650002,117.839996,116.279999,116.400002,81.000702,7914100
2007-10-04,116.199997,116.750000,115.000000,115.690002,80.506653,6177500
2007-10-05,116.169998,116.709999,115.470001,116.300003,80.931137,5749400
2007-10-08,116.099998,118.230003,115.879997,117.769997,81.954063,4822900
2007-10-09,117.849998,118.500000,116.419998,118.300003,82.322876,5670600
2007-10-10,118.000000,118.800003,117.680000,118.620003,82.545578,5913800
2007-10-11,118.989998,121.459999,117.370003,118.050003,82.148926,13018800
2007-10-12,118.500000,118.889999,117.279999,117.809998,81.981903,5656200
2007-10-15,117.949997,118.370003,116.750000,118.029999,82.134995,6267300
